normalising_temperature,tempering_temperature,sample,percent_silicon,percent_chromium,manufacture_year,percent_copper,percent_nickel,percent_sulphur,percent_carbon,percent_manganese,tensile_strength
178.5,275,653,0.153,0.970574759,1998,0.942,0.887,0,1.92,0,25.10761328
178.5,950,654,0.153,1.21272603,2010,0.942,0.887,0,1.92,0,140.0353335
178.5,375,678,0.153,1.621164828,1992,0.942,0.887,0,1.92,0,42.21764969
178.5,900,681,0.153,0.80998863,1991,0.942,0.887,0,1.92,0,95.01530861
189.525,900,658,0.1624,1.036229263,2009,0.849,0.9382,0,2.035,0,113.2667725
189.525,950,660,0.1624,0.93545159,2004,0.849,0.9382,0,2.035,0,160.7744268
189.525,275,689,0.1624,1.390218374,1992,0.849,0.9382,0,2.035,0,12.82494308
189.525,375,698,0.1624,1.416357675,2006,0.849,0.9382,0,2.035,0,42.47930584
203,950,661,0.173,1.162189166,2011,0.8919,0.9098,0,1.92,0,170.6301415
203,900,696,0.173,1.31242066,1992,0.8919,0.9098,0,1.92,0,122.9139207
203,275,709,0.173,1.108258101,1993,0.8919,0.9098,0,1.92,0,34.54240286
203,375,717,0.173,1.051569509,1992,0.8919,0.9098,0,1.92,0,55.49385481
214.55,950,651,0.1839,1.07601808,2008,0.8001,0.9582,0,2.035,0,182.5563526
214.55,900,655,0.1839,1.325198859,1998,0.8001,0.9582,0,2.035,0,133.6001093
214.55,275,706,0.1839,1.086320287,2010,0.8001,0.9582,0,2.035,0,18.25904817
214.55,375,719,0.1839,1.403070885,2006,0.8001,0.9582,0,2.035,0,56.95002812
231,900,858,0.207,1.470654724,1992,0.736,0.867,0.05,1.79,1.61,183.1592994
231,900,1015,0.2065,1.283542741,2009,0.7356,0.8669,0.055,1.789,1.609,183.1858442
232.75,900,664,0.2,1.21012507,2004,0.8392,0.9274,0,1.92,0,153.3115386
232.75,950,684,0.2,1.514043553,2008,0.8392,0.9274,0,1.92,0,201.2363259
232.75,375,686,0.2,1.402326238,2004,0.8392,0.9274,0,1.92,0,75.15219452
232.75,275,701,0.2,0.947351237,2004,0.8392,0.9274,0,1.92,0,37.86050611
232.75,900,879,0.21,1.360017244,2001,0.795,0.949,0.03,1.96,0,170.64531
232.925,900,942,0.2102,1.107778632,2000,0.7953,0.9494,0.031,1.957,0,159.1589846
235.725,900,969,0,1.38269057,2003,0.8049,0.961,0.1,1.802,1.657,73.11582716
236.25,900,906,0,1.148668104,2004,0.805,0.961,0.1,1.8,1.66,73.11203504
236.25,900,930,0.105,1.267843512,1995,0.643,0.965,0.06,1.96,1.93,120.51351
237.475,375,575,0.2035,0.949572557,1991,0.7593,1.0762,0,1.857,0,41.28858078
237.475,900,578,0.2035,1.259019623,2008,0.7593,1.0762,0,1.857,0,100.0929546
238,900,921,0.162,1.444654303,2001,0.764,0.923,0.1,1.72,1.26,159.8756949
238,900,925,0.196,1.354691744,2007,0.783,0.847,0.06,1.99,0.98,148.309735
238.7,900,984,0.1616,1.40340215,1994,0.7644,0.9226,0.104,1.716,1.258,159.9022397
244.3,950,17,0.2094,1.665857913,1997,0.8069,1.047,0,1.92,0,216.4692639
244.3,900,22,0.2094,1.021100643,2001,0.8069,1.047,0,1.92,0,155.3061927
244.3,275,23,0.2094,1.44665003,2005,0.8069,1.047,0,1.92,0,44.34882001
244.3,950,67,0.2094,1.727578841,2003,0.8069,1.047,0,1.92,0,245.8392178
244.475,900,1020,0.1639,0.778916412,1990,0.6556,0.8686,0.058,2.367,1.277,193.7393086
244.825,900,946,0.1326,1.311100841,1998,0.7534,0.916,0.074,2.003,1.033,200.4399811
245,900,863,0.164,1.120223504,1992,0.656,0.869,0.06,2.37,1.28,193.7393086
245,900,883,0.133,1.590606257,1999,0.753,0.916,0.07,2,1.03,200.4134363
247.275,900,649,0.212,1.185883762,1993,0.7485,0.9718,0,2.035,0,164.4072759
247.275,375,662,0.212,1.102509426,1995,0.7485,0.9718,0,2.035,0,57.16617885
247.275,950,716,0.212,1.417456205,2001,0.7485,0.9718,0,2.035,0,218.141588
247.275,275,718,0.212,1.05469909,2006,0.7485,0.9718,0,2.035,0,26.55241024
248.325,900,1001,0.1666,1.479831129,2010,0.7853,0.8826,0.109,1.735,1.297,245.3652031
248.5,900,844,0.167,1.061497883,2009,0.785,0.883,0.11,1.74,1.3,245.3500346
250.25,900,895,0.169,1.252186351,2002,0.643,0.967,0.08,1.91,1.43,163.478207
250.25,900,958,0.1694,1.567673085,1999,0.6435,0.9674,0.084,1.907,1.427,163.4933755
251.3,900,993,0,1.386617189,2004,0.8445,0.9427,0.179,1.584,1.749,84.82967966
251.475,900,965,0.1702,0.980064812,1993,0.8053,0.8141,0.085,1.916,1.326,164.2897202
251.65,900,974,0.1363,1.558077807,1995,0.7743,0.9415,0.075,1.781,1.062,143.812283
252,900,836,0,1.148644478,2000,0.844,0.943,0.18,1.58,1.75,84.79175848
252,900,902,0.17,0.87789428,2009,0.805,0.814,0.08,1.92,1.33,164.2745518
252,900,911,0.136,1.551397813,1991,0.774,0.941,0.07,1.78,1.06,143.7971146
252,900,932,0.015,1.378906982,2011,0.709,1.021,0.06,1.76,1.95,84.3746255
253.4,900,963,0,1.128601944,2003,0.8115,0.9795,0.111,1.808,1.336,72.61147546
253.75,900,398,0.116,0.75334885,2007,0.88,0.833,0.057,1.84,1.19,160.3686702
253.75,900,900,0,1.240059013,1995,0.812,0.979,0.11,1.81,1.34,72.58113852
253.75,900,919,0,0.914155107,1996,0.869,0.824,0.08,2.02,1.79,57.94356304
254.45,900,982,0,1.414615802,1995,0.8687,0.824,0.078,2.017,1.789,57.94735516
254.975,900,973,0.1726,0.97051852,2007,0.8168,0.9858,0.034,1.819,0,130.5929597
255.325,900,940,0.2305,1.293867196,2007,0.8718,0.827,0.034,2.025,0,179.9625439
255.5,900,877,0.23,1.220029035,1993,0.872,0.827,0.03,2.02,0,181.8320581
255.5,900,910,0.173,1.316983619,1996,0.817,0.986,0.03,1.82,0,130.5626227
256.375,900,990,0.1146,1.22508716,1990,0.8295,0.86,0.088,2.019,0.893,109.9335008
257.25,900,833,0.115,1.098544885,2002,0.829,0.86,0.09,2.02,0.89,109.9335008
258.65,900,981,0.1751,1.014689812,1991,0.8285,1,0.022,1.712,0,148.0746237
259,900,887,0,1.373748857,2005,0.83,1.002,0.16,1.58,1.37,98.74675272
259,900,912,0,1.346508987,1995,0.884,0.839,0.15,1.81,1.82,85.36057618
259,900,918,0.175,0.945781113,1996,0.828,1,0.02,1.71,0,148.0442867
259.175,900,950,0,0.960818631,1992,0.8301,1.0018,0.161,1.581,1.366,98.77708966
259.175,900,975,0,1.065051976,1994,0.8843,0.8389,0.15,1.814,1.821,85.39470524
259.875,900,1028,0.1394,1.447207419,1999,0.78,0.8924,0.061,1.927,1.086,130.3313035
260.75,900,871,0.139,1.385704656,1995,0.78,0.892,0.06,1.93,1.09,130.2971745
260.75,900,884,0.236,1.149149215,1998,0.893,0.847,0.13,1.76,0,181.2632404
260.75,900,894,0.118,1.082960937,2004,0.78,0.953,0.07,1.83,0.92,129.349145
260.75,900,929,0.153,1.602442499,1996,0.623,0.935,0.08,1.92,1.94,135.1890067
260.75,900,957,0.1176,1.667101152,2001,0.7803,0.9534,0.071,1.829,0.917,129.383274
261.625,900,947,0.236,1.187611803,2006,0.8927,0.8468,0.126,1.758,0,181.3011616
262.5,900,901,0.237,1.022600758,1990,0.675,1.069,0.12,1.74,0,205.8740862
262.5,900,964,0.2368,1.230182714,1996,0.6748,1.0693,0.119,1.738,0,205.8740862
263.725,900,955,0,1.633325773,2000,0.678,1.0745,0.156,1.667,1.853,74.03731183
264.075,900,1000,0,1.606230924,2011,0.7722,0.9912,0.116,1.666,1.839,85.63360868
264.25,900,843,0,1.522972826,1995,0.772,0.991,0.12,1.67,1.84,85.62602444
264.25,900,892,0,1.382420758,2003,0.678,1.074,0.16,1.67,1.85,74.02214336
265.3,900,944,0,0.868504599,2004,0.8159,0.992,0.079,1.844,1.119,66.99534871
265.65,900,991,0.1781,1.439691952,2001,0.6946,0.944,0.183,1.675,1.387,199.9242531
302.75,275,673,0.116,1.14507352,2009,0.8568,0.9468,0,1.92,0,38.17525191
302.75,900,682,0.116,1.087968281,1992,0.8568,0.9468,0,1.92,0,133.5508117
302.75,950,710,0.116,1.25778987,1994,0.8568,0.9468,0,1.92,0,176.5648062
303.695,275,412,0.05005,1.710341839,1994,0.7935,1.0062,0.0647,1.6477,1.7353,126.9221895
303.695,550,425,0.05005,1.573424633,2008,0.7935,1.0062,0.0647,1.6477,1.7353,181.5286887
303.695,900,438,0.05005,1.558214136,2008,0.7935,1.0062,0.0647,1.6477,1.7353,210.1212584
303.695,950,451,0.05005,1.13249426,1996,0.7935,1.0062,0.0647,1.6477,1.7353,295.7472828
303.695,950,464,0.05005,1.440927432,2008,0.7935,1.0062,0.0647,1.6477,1.7353,308.3371146
304.1675,275,414,0.09337,1.473592456,1991,0.7466,1.0072,0.0973,1.7234,1.599,86.99118692
304.1675,550,427,0.09337,1.318029577,1992,0.7466,1.0072,0.0973,1.7234,1.599,162.5301775
304.1675,900,440,0.09337,1.373133014,1994,0.7466,1.0072,0.0973,1.7234,1.599,207.9597511
304.1675,950,453,0.09337,1.470733193,2008,0.7466,1.0072,0.0973,1.7234,1.599,269.4299839
304.1675,950,466,0.09337,1.263364989,1994,0.7466,1.0072,0.0973,1.7234,1.599,280.1616778
311.5525,275,409,0.1298,1.204765034,2007,0.7468,1.0073,0.0357,1.7994,1.186,113.9910671
311.5525,550,422,0.1298,1.288868319,1996,0.7468,1.0073,0.0357,1.7994,1.186,188.3165799
311.5525,900,435,0.1298,0.902335965,1998,0.7468,1.0073,0.0357,1.7994,1.186,215.3923024
311.5525,950,448,0.1298,1.020714147,2011,0.7468,1.0073,0.0357,1.7994,1.186,267.2305555
311.5525,950,461,0.1298,1.644968365,1997,0.7468,1.0073,0.0357,1.7994,1.186,274.9664762
317.415,275,285,0,1.026913176,2002,0.7778,1.0556,0.0756,1.6959,1.6701,74.93225168
317.415,550,286,0,1.0981236,2005,0.7778,1.0556,0.0756,1.6959,1.6701,118.8070569
317.415,900,287,0,1.293571674,2008,0.7778,1.0556,0.0756,1.6959,1.6701,152.746513
317.415,950,288,0,1.653328416,2011,0.7778,1.0556,0.0756,1.6959,1.6701,195.6353676
317.415,950,289,0,1.079526275,1993,0.7778,1.0556,0.0756,1.6959,1.6701,249.5213644
373.625,900,443,0,1.344683881,1995,0.7719,1.0436,0.1166,1.5921,1.7424,245.5017193
373.625,950,456,0,1.005645384,1992,0.7719,1.0436,0.1166,1.5921,1.7424,281.9060521
373.625,950,469,0,1.7142842,2010,0.7719,1.0436,0.1166,1.5921,1.7424,291.2725836
374.01,275,230,0.09805,1.497331716,2011,0.78538,1.0658,0.0686,1.8171,0.2451,98.9742798
374.01,550,231,0.09805,1.149704592,1990,0.78538,1.0658,0.0686,1.8171,0.2451,167.1186403
374.01,900,232,0.09805,1.476826041,2007,0.78538,1.0658,0.0686,1.8171,0.2451,251.3795022
374.01,950,233,0.09805,1.252422148,2005,0.78538,1.0658,0.0686,1.8171,0.2451,279.2515695
374.01,950,234,0.09805,1.379944583,2001,0.78538,1.0658,0.0686,1.8171,0.2451,296.4677852
374.045,275,345,0,1.23713146,1991,0.77635,1.0535,0.1016,1.5479,1.7474,96.66108782
374.045,550,346,0,1.178307688,2010,0.77635,1.0535,0.1016,1.5479,1.7474,185.5104126
374.045,900,347,0,1.484566212,1997,0.77635,1.0535,0.1016,1.5479,1.7474,220.8150311
374.045,950,348,0,1.324645046,2011,0.77635,1.0535,0.1016,1.5479,1.7474,256.5367827
374.045,950,349,0,0.965198955,1994,0.77635,1.0535,0.1016,1.5479,1.7474,275.4215303
374.08,275,235,0.09806,1.218833467,1993,0.78552,1.066,0.0665,1.8174,0.2452,72.50529616
374.08,550,236,0.09806,1.451380875,2009,0.78552,1.066,0.0665,1.8174,0.2452,98.10209266
374.08,900,237,0.09806,1.632250358,2008,0.78552,1.066,0.0665,1.8174,0.2452,221.2700853
374.08,950,238,0.09806,1.182553409,1998,0.78552,1.066,0.0665,1.8174,0.2452,259.2291865
374.08,950,239,0.09806,1.615629671,2001,0.78552,1.066,0.0665,1.8174,0.2452,274.8527126
376.075,275,365,0.0538,0.904605406,1995,0.78058,1.0143,0.0961,1.5563,1.2189,99.08804334
376.075,550,366,0.0538,1.111704827,1997,0.78058,1.0143,0.0961,1.5563,1.2189,212.3206868
376.075,900,367,0.0538,1.547589632,1995,0.78058,1.0143,0.0961,1.5563,1.2189,287.1012538
376.075,950,368,0.0538,1.717120561,2001,0.78058,1.0143,0.0961,1.5563,1.2189,296.7711547
376.075,950,369,0.0538,1.074323641,1997,0.78058,1.0143,0.0961,1.5563,1.2189,311.4845725
381.9025,275,360,0.05464,1.112202333,1995,0.79267,1.0757,0.1191,1.4075,1.2378,150.8125329
381.9025,550,361,0.05464,1.21262178,2011,0.79267,1.0757,0.1191,1.4075,1.2378,197.7589537
381.9025,900,362,0.05464,1.488710685,1996,0.79267,1.0757,0.1191,1.4075,1.2378,305.3034202
381.9025,950,363,0.05464,1.732889523,2011,0.79267,1.0757,0.1191,1.4075,1.2378,340.9493294
381.9025,950,364,0.05464,1.342604009,2008,0.79267,1.0757,0.1191,1.4075,1.2378,349.4057525
382.9875,275,370,0,1.393530016,1994,0.79491,1.0787,0.1133,1.5849,1.2413,84.3746255
382.9875,550,371,0,1.539241478,2000,0.79491,1.0787,0.1133,1.5849,1.2413,143.266218
382.9875,900,372,0,1.069785751,1995,0.79491,1.0787,0.1133,1.5849,1.2413,166.2085319
382.9875,950,373,0,1.288266687,1992,0.79491,1.0787,0.1133,1.5849,1.2413,204.9639779
382.9875,950,374,0,1.45279921,2000,0.79491,1.0787,0.1133,1.5849,1.2413,254.2615119
386.4,900,561,0.1472,1.105845279,1995,0.7443,1.055,0,1.857,0,141.5976861
386.4,375,573,0.1472,1.160415984,2002,0.7443,1.055,0,1.857,0,71.98956811
389.13,275,185,0,1.220422887,2006,0.87032,0.96708,0.0446,1.8929,0.9667,63.66966122
389.13,550,186,0,1.047662861,1997,0.87032,0.96708,0.0446,1.8929,0.9667,134.4685043
389.13,900,187,0,1.690892972,1995,0.87032,0.96708,0.0446,1.8929,0.9667,136.8954598
389.13,950,188,0,1.346140659,1994,0.87032,0.96708,0.0446,1.8929,0.9667,161.9613598
389.13,950,189,0,1.231921101,2009,0.87032,0.96708,0.0446,1.8929,0.9667,223.9245679
393.75,375,630,0,1.11746656,2001,0.833,1.113,0,1.81,0,61.4323116
393.75,900,631,0,1.426637052,1999,0.833,1.113,0,1.81,0,95.3717677
399,900,572,0.3421,0.94180041,1991,0.6743,0.9558,0,1.857,0,218.3463623
399,375,585,0.3421,1.148497984,1993,0.6743,0.9558,0,1.857,0,120.543847
401.94,275,240,0,1.213009903,1992,0.75763,1.0281,0.0613,1.9523,1.1816,73.45332566
401.94,550,241,0,0.976372072,2003,0.75763,1.0281,0.0613,1.9523,1.1816,122.7508597
401.94,900,242,0,1.505534451,2009,0.75763,1.0281,0.0613,1.9523,1.1816,134.9614796
401.94,950,243,0,1.288715405,2004,0.75763,1.0281,0.0613,1.9523,1.1816,172.4276055
401.94,950,244,0,1.132795954,2002,0.75763,1.0281,0.0613,1.9523,1.1816,224.7209127
405.5625,275,270,0,1.405826456,1990,0.77845,1.0564,0.0672,1.7396,1.2162,84.90552202
405.5625,550,271,0,1.522791627,1996,0.77845,1.0564,0.0672,1.7396,1.2162,147.2479419
405.5625,900,272,0,1.422404073,2011,0.77845,1.0564,0.0672,1.7396,1.2162,185.5104126
405.5625,950,273,0,0.943133658,1996,0.77845,1.0564,0.0672,1.7396,1.2162,234.8458677
405.5625,950,274,0,1.665320316,1991,0.77845,1.0564,0.0672,1.7396,1.2162,252.1000046
409.5,900,400,0.156,1.047741433,1993,0.76,0.981,0.0585,1.89,0,216.150726
413,275,606,0,1.125087602,2007,0.885,0.968,0,1.94,0,35.57006684
413,550,607,0,0.861654554,2010,0.885,0.968,0,1.94,0,70.60923716
413,900,608,0,0.894220964,1996,0.885,0.968,0,1.94,0,101.2874718
413,950,609,0,1.508486091,1990,0.885,0.968,0,1.94,0,120.7031159
413,950,610,0,1.014722065,2010,0.885,0.968,0,1.93,0,132.5724453
413,950,611,0,1.575594811,2006,0.885,0.968,0,1.93,0,137.9572528
413,375,627,0,0.98347795,2008,0.885,0.968,0,1.93,0,54.94778982
413,375,672,0.157,1.330624464,2011,0.7491,0.9726,0,1.92,0,112.2884061
413,275,675,0.157,1.187859801,2001,0.7491,0.9726,0,1.92,0,74.60992165
413,950,688,0.157,1.235233051,1991,0.7491,0.9726,0,1.92,0,262.8013616
413,900,695,0.157,1.07112214,2009,0.7491,0.9726,0,1.92,0,180.865068
414.575,900,937,0.0917,0.762467655,1995,0.6954,0.8529,0.06,2.469,0.715,157.4639078
414.75,900,874,0.092,1.306506724,2004,0.695,0.853,0.06,2.47,0.71,157.4487394
416.5,375,737,0,1.383430599,2000,0.789,1.119,0,1.86,0,66.28622264
416.5,900,738,0,1.644081669,2005,0.789,1.119,0,1.86,0,96.47148192
416.5,900,781,0,1.739025836,2000,0.789,1.118,0,1.85,0,96.47148192
416.5875,275,245,0,1.115603061,2003,0.84701,0.94991,0.07,1.8666,0.9411,109.6301314
416.5875,550,246,0,0.854117089,1999,0.84701,0.94991,0.07,1.8666,0.9411,141.2943167
416.5875,900,247,0,1.688767516,2011,0.84701,0.94991,0.07,1.8666,0.9411,166.2843743
416.5875,950,248,0,1.621725443,2001,0.84701,0.94991,0.07,1.8666,0.9411,217.7434156
416.5875,950,249,0,0.835190341,2000,0.84701,0.94991,0.07,1.8666,0.9411,243.6435815
416.675,900,576,0,1.794173057,2009,0.7893,1.1188,0,1.857,0,96.66867206
416.675,375,591,0,1.607916403,1993,0.7893,1.1188,0,1.857,0,56.84764094
416.85,375,555,0.1588,1.656772673,2009,0.7343,1.0406,0,1.857,0,86.30102144
416.85,900,588,0.1588,1.262666086,2011,0.7343,1.0406,0,1.857,0,148.0253261
419.3,375,554,0.3594,1.378587112,1995,0.6643,0.9416,0,1.857,0,139.8229749
419.3,900,560,0.3594,0.913826369,1999,0.6643,0.9416,0,1.857,0,216.8939811
431.9525,275,330,0,1.441026966,1999,0.80089,1.0868,0.1199,1.433,1.2508,129.3870662
431.9525,550,331,0,1.017885855,2010,0.80089,1.0868,0.1199,1.433,1.2508,232.1913851
431.9525,900,332,0,1.140148403,2005,0.80089,1.0868,0.1199,1.433,1.2508,288.7697857
431.9525,950,333,0,1.210719086,1997,0.80089,1.0868,0.1199,1.433,1.2508,331.7724038
431.9525,950,334,0,1.659575279,1991,0.80089,1.0868,0.1199,1.433,1.2508,365.3326481
435.925,275,320,0,1.646350071,2003,0.88901,0.98776,0.128,1.5811,0.9875,84.48838904
435.925,550,321,0,1.483487105,2008,0.88901,0.98776,0.128,1.5811,0.9875,157.7521088
435.925,900,322,0,1.243516532,2000,0.88901,0.98776,0.128,1.5811,0.9875,169.6593593
435.925,950,323,0,1.523053486,2008,0.88901,0.98776,0.128,1.5811,0.9875,231.1675133
435.925,950,324,0,1.629356486,2010,0.88901,0.98776,0.128,1.5811,0.9875,280.8063379
437.5,275,250,0,1.232359849,2007,0.86117,0.95686,0.0553,1.8742,0.9569,75.99404472
437.5,550,251,0,1.479563199,2003,0.86117,0.95686,0.0553,1.8742,0.9569,137.0471445
437.5,900,252,0,1.330177235,1998,0.86117,0.95686,0.0553,1.8742,0.9569,160.7099608
437.5,950,253,0,1.130719031,1996,0.86117,0.95686,0.0553,1.8742,0.9569,210.8038396
437.5,950,254,0,1.516578323,2007,0.86117,0.95686,0.0553,1.8742,0.9569,232.9118876
437.5,900,401,0.18,1.0768498,2004,0.8,0.86,0.0945,1.59,0.95,373.2581747
437.5,275,416,0,0.899355969,2009,0.8572,0.9489,0.0533,1.9184,0.9569,46.68097258
437.5,550,429,0,1.164110383,2007,0.8572,0.9489,0.0533,1.9184,0.9569,135.6061397
437.5,900,442,0,1.524863644,2005,0.8572,0.9489,0.0533,1.9184,0.9569,149.7128186
437.5,950,455,0,1.177699566,2011,0.8572,0.9489,0.0533,1.9184,0.9569,218.046785
437.5,950,468,0,1.489855582,2003,0.8572,0.9489,0.0533,1.9184,0.9569,226.3894446
437.5,375,642,0,1.637807634,2005,0.82,1.1,0,1.82,0,70.04041946
437.5,900,643,0,1.655703971,2000,0.82,1.1,0,1.82,0,114.7874119
437.85,950,647,0.1668,1.609989314,2002,0.6941,0.9776,0,2.035,0,262.4297341
437.85,375,665,0.1668,0.953299025,1992,0.6941,0.9776,0,2.035,0,106.4257917
437.85,275,705,0.1668,1.068575298,2006,0.6941,0.9776,0,2.035,0,53.52195345
437.85,900,711,0.1668,1.084953361,2005,0.6941,0.9776,0,2.035,0,203.3030302
439.8975,275,275,0,1.649975638,2010,0.75773,1.0284,0.0575,1.8845,1.1827,94.72710764
439.8975,550,276,0,1.094782767,2003,0.75773,1.0284,0.0575,1.8845,1.1827,164.6158424
439.8975,900,277,0,1.682213304,2011,0.75773,1.0284,0.0575,1.8845,1.1827,163.0989952
439.8975,950,278,0,1.048109116,2009,0.75773,1.0284,0.0575,1.8845,1.1827,203.3333672
439.8975,950,279,0,0.901678533,1994,0.75773,1.0284,0.0575,1.8845,1.1827,239.6997788
439.8975,275,280,0,1.107000694,2007,0.75773,1.0284,0.0635,1.8845,1.1827,72.16400554
439.8975,550,281,0,1.028483875,1993,0.75773,1.0284,0.0635,1.8845,1.1827,134.3547407
439.8975,900,282,0,1.031975201,2003,0.75773,1.0284,0.0635,1.8845,1.1827,179.6326297
439.8975,950,283,0,1.514337066,2009,0.75773,1.0284,0.0635,1.8845,1.1827,201.5131505
439.8975,950,284,0,1.320613637,1997,0.75773,1.0284,0.0635,1.8845,1.1827,243.1506062
439.8975,275,419,0,1.102638809,1999,0.7543,1.0436,0.0575,1.9294,1.1827,65.90701084
439.8975,550,432,0,1.075872284,2009,0.7543,1.0436,0.0575,1.9294,1.1827,113.9910671
439.8975,900,445,0,1.724310144,1991,0.7543,1.0436,0.0575,1.9294,1.1827,183.0076147
439.8975,950,458,0,1.186600275,1992,0.7543,1.0436,0.0575,1.9294,1.1827,215.9611201
439.8975,950,471,0,1.648558734,1998,0.7543,1.0436,0.0575,1.9294,1.1827,220.8150311
440.6675,275,315,0,1.321236992,2011,0.89976,1.006,0.1235,1.4614,0.9994,115.6216778
440.6675,550,316,0,1.363164726,2006,0.89976,1.006,0.1235,1.4614,0.9994,183.4626688
440.6675,900,317,0,0.952381767,1993,0.89976,1.006,0.1235,1.4614,0.9994,186.6859691
440.6675,950,318,0,0.909599404,2000,0.89976,1.006,0.1235,1.4614,0.9994,242.7713944
440.6675,950,319,0,1.074347273,1996,0.89976,1.006,0.1235,1.4614,0.9994,249.5213644
441,375,801,0,1.71918549,2010,0.784,1.111,0,1.85,0,75.42522702
441,900,802,0,1.55766863,2010,0.784,1.111,0,1.85,0,108.3028901
441,375,809,0,1.512060632,1996,0.784,1.111,0,1.86,0,63.06292234
441,900,810,0,1.269982183,1997,0.784,1.111,0,1.85,0,108.3028901
441,900,849,0.097,1.001373942,1992,0.821,0.835,0.08,1.94,0.76,183.6901959
441.175,900,1006,0.0971,1.577989567,1999,0.8214,0.8355,0.083,1.938,0.756,183.6977802
441.5425,275,325,0,0.903326178,1997,0.88901,0.98776,0.1417,1.4625,0.9875,119.7930076
441.5425,550,326,0,1.552280156,1994,0.88901,0.98776,0.1417,1.4625,0.9875,232.6085181
441.5425,900,327,0,0.888617259,2011,0.88901,0.98776,0.1417,1.4625,0.9875,278.30354
441.5425,950,328,0,1.090686339,1992,0.88901,0.98776,0.1417,1.4625,0.9875,307.0477945
441.5425,950,329,0,1.344898545,2011,0.88901,0.98776,0.1417,1.4625,0.9875,335.2232312
441.875,900,592,0,1.443232252,2003,0.7843,1.1116,0,1.857,0,108.7086467
441.875,375,594,0,1.029501591,1994,0.7843,1.1116,0,1.857,0,63.16151741
444.5,275,618,0,1.436531296,1990,0.863,0.968,0,1.98,0,51.193593
444.5,950,619,0,1.053319867,1996,0.863,0.968,0,1.98,0,148.1959714
444.5,950,620,0,0.86416787,2006,0.863,0.968,0,1.98,0,151.9501683
444.5,950,621,0,1.147270995,1991,0.863,0.968,0,1.98,0,163.8194976
446.25,950,543,0,1.124539278,1999,0.945,0.8898,0,1.92,0,120.2253091
446.25,375,544,0,1.300077321,1994,0.945,0.8898,0,1.92,0,56.22194147
446.25,900,546,0,1.055500105,2006,0.945,0.8898,0,1.92,0,103.1038963
446.25,275,552,0,0.848428978,1998,0.945,0.8898,0,1.92,0,45.12241208
446.25,900,923,0.099,1.568463345,2000,0.749,0.919,0.06,1.89,0.77,185.8896244
446.775,900,986,0.0988,1.025252463,2010,0.7493,0.919,0.065,1.886,0.77,185.8934165
447.125,375,558,0.1703,0.956874899,1999,0.7243,1.0266,0,1.857,0,94.79915788
447.125,900,567,0.1703,1.48481838,1998,0.7243,1.0266,0,1.857,0,176.2841895
454.825,900,959,0.1006,1.442659281,2010,0.7629,0.9357,0.104,1.706,0.784,273.7529984
455,900,896,0.101,1.477747363,1993,0.763,0.936,0.1,1.71,0.78,273.7529984
