normalising_temperature,tempering_temperature,sample,percent_silicon,percent_chromium,manufacture_year,percent_copper,percent_nickel,percent_sulphur,percent_carbon,percent_manganese,tensile_strength
456.575,900,1030,0.1005,1.334764719,1995,0.7615,0.8645,0.086,2.006,0.783,178.2067933
456.75,900,873,0.1,0.766762019,2011,0.761,0.864,0.09,2.01,0.78,178.1916248
458.325,900,953,0.1105,1.4209708,2009,0.7326,0.8952,0.05,1.954,0.861,185.4535308
458.5,900,890,0.111,1.276766272,1991,0.733,0.895,0.05,1.95,0.86,185.4345702
462.875,900,1023,0.111,0.745782666,2000,0.7904,0.8326,0.059,1.955,0.865,228.4826937
463.75,900,866,0.111,1.326246696,2006,0.79,0.833,0.06,1.95,0.86,228.4751095
465.5,950,6,0.114,1.358544149,2007,0.67,0.932,0,2.28,0,258.6641609
465.5,900,9,0.114,0.821857227,1994,0.67,0.932,0,2.28,0,252.1985997
465.5,950,65,0.114,1.32602556,1996,0.67,0.932,0,2.28,0,267.825918
465.5,900,907,0.112,1.383996818,2005,0.745,0.91,0.1,1.78,0.87,216.7953861
465.85,900,970,0.1123,1.335847346,1991,0.7445,0.9097,0.104,1.779,0.875,216.8181388
477.05,900,956,0,1.584274223,2005,0.7622,0.9313,0.106,1.987,0.896,177.3497746
477.4,375,559,0.1819,1.120544621,1999,0.7143,1.0124,0,1.857,0,108.7086467
477.4,900,598,0.1819,1.257332523,2003,0.7143,1.0124,0,1.857,0,172.5982508
477.4,900,987,0.1051,1.065511992,2007,0.6797,0.904,0.09,2.097,0.818,204.4406656
477.75,900,830,0.105,1.520239761,1996,0.68,0.904,0.09,2.1,0.82,204.4330814
477.75,900,893,0,1.676318577,2010,0.762,0.931,0.11,1.99,0.9,177.3194377
481.25,900,405,0.18,1.341833032,2002,0.765,0.83,0.1035,1.62,1.2,419.2944873
481.25,375,634,0,1.752171256,1998,0.808,1.088,0,1.83,0,78.1176308
481.25,900,635,0,1.514210553,1998,0.808,1.088,0,1.83,0,134.7339525
481.3725,275,335,0,1.685414654,2001,0.7775,1.0536,0.099,1.5948,1.2135,130.9039134
481.3725,550,336,0,1.3055562,2009,0.7775,1.0536,0.099,1.5948,1.2135,213.2307951
481.3725,900,337,0,1.763484295,2011,0.7775,1.0536,0.099,1.5948,1.2135,282.3231851
481.3725,950,338,0,0.939814556,1998,0.7775,1.0536,0.099,1.5948,1.2135,312.6601291
481.3725,950,339,0,1.315755264,2007,0.7775,1.0536,0.099,1.5948,1.2135,322.33003
483,900,869,0.116,1.093635432,1998,0.768,0.87,0.09,1.8,0.9,243.529818
483.7,900,1026,0.116,1.106843049,2004,0.7683,0.8701,0.089,1.796,0.903,243.563947
484.75,550,612,0,1.588946527,1999,0.856,0.968,0,1.91,0,116.9489191
484.75,900,613,0,1.101594281,2001,0.856,0.968,0,1.91,0,142.8111639
484.75,275,614,0,0.866634893,1996,0.856,0.968,0,1.91,0,62.49410464
484.75,950,615,0,1.687673565,1999,0.856,0.968,0,1.91,0,171.8967089
484.75,950,616,0,0.94441496,2001,0.856,0.968,0,1.91,0,177.812413
484.75,950,617,0,0.84472908,2008,0.856,0.968,0,1.91,0,185.3587278
484.75,900,913,0.117,1.162438489,1993,0.666,0.946,0.07,1.91,0.91,239.6618576
484.75,900,976,0.1168,1.320114988,2000,0.6656,0.9465,0.07,1.906,0.91,239.6808182
484.8375,275,305,0,0.954315644,1992,0.87561,0.9739,0.1183,1.606,0.9739,127.2634801
484.8375,550,306,0,0.901517087,2009,0.87561,0.9739,0.1183,1.606,0.9739,230.3711685
484.8375,900,307,0,1.063046423,2004,0.87561,0.9739,0.1183,1.606,0.9739,265.5620235
484.8375,950,308,0,1.146155855,2009,0.87561,0.9739,0.1183,1.606,0.9739,280.6925744
484.8375,950,309,0,0.97164602,2001,0.87561,0.9739,0.1183,1.606,0.9739,306.0239226
485.0825,275,355,0.09782,1.47585085,1999,0.78246,1.0617,0.1119,1.607,0.2446,167.4599309
485.0825,550,356,0.09782,1.629940431,1994,0.78246,1.0617,0.1119,1.607,0.2446,262.4145656
485.0825,900,357,0.09782,1.73445639,1997,0.78246,1.0617,0.1119,1.607,0.2446,347.2821664
485.0825,950,358,0.09782,0.997499349,1991,0.78246,1.0617,0.1119,1.607,0.2446,367.5320766
485.0825,950,359,0.09782,1.706043888,1999,0.78246,1.0617,0.1119,1.607,0.2446,368.2146578
489.65,900,1005,0.1289,1.086280132,2003,0.8049,0.8251,0.095,1.724,1.004,290.548289
490,900,848,0.129,0.94121106,1990,0.805,0.825,0.09,1.72,1,290.51416
491.75,375,745,0,1.603217389,2004,0.774,1.104,0,1.86,0,79.74824154
491.75,900,746,0,1.371971752,2004,0.774,1.104,0,1.85,0,123.3955197
491.75,900,776,0,1.14351324,1997,0.774,1.104,0,1.86,0,123.3955197
497,900,520,0.015,1.040648615,1991,0.801,0.842,0.0546,1.79,1.41,240.5340447
497,275,521,0.015,0.99766271,2001,0.801,0.842,0.0546,1.79,1.41,73.67543543
497,375,522,0.015,1.025191639,1992,0.801,0.842,0.0546,1.79,1.41,132.72413
497,950,523,0.015,1.098102498,2011,0.801,0.842,0.0546,1.79,1.41,244.8624766
497,900,898,0.12,1.145003015,1995,0.794,0.97,0.07,1.68,0,225.1380457
497,900,961,0.1197,1.396464843,2001,0.7942,0.9704,0.072,1.683,0,225.1418378
498.75,900,403,0.19,1.116423921,1994,0.685,1.031,0.076,1.63,0,294.6854898
501.025,900,134,0.2009,1.343564024,2003,0.8037,1.0046,0.112,1.447,0,372.3480664
501.025,950,179,0.2009,1.138556049,2004,0.8037,1.0046,0.112,1.447,0,422.404024
502.25,900,855,0.121,1.327199166,2009,0.696,0.904,0.09,1.88,0.94,230.6745379
502.775,900,1012,0.1205,0.87291751,2004,0.6959,0.9044,0.092,1.876,0.939,240.8905038
504,275,670,0.192,1.638362878,2001,0.7178,0.932,0,1.92,0,88.60283707
504,900,679,0.192,1.355924641,2008,0.7178,0.932,0,1.92,0,213.4241932
504,375,691,0.192,1.375736752,1999,0.7178,0.932,0,1.92,0,129.3794819
504,950,702,0.192,1.512333048,2007,0.7178,0.932,0,1.92,0,277.8977834
504,900,864,0.121,1.483943804,1999,0.829,0.908,0.07,1.77,0,231.736331
504.7,900,1021,0.121,1.638907538,1990,0.8295,0.9079,0.07,1.774,0,231.77046
505.75,950,533,0,1.629527932,1994,0.8953,0.9132,0,1.92,0,176.3752003
505.75,275,534,0,1.127398749,1999,0.8953,0.9132,0,1.92,0,64.10196267
505.75,375,545,0,1.036390051,2000,0.8953,0.9132,0,1.92,0,80.28293018
505.75,900,549,0,1.065888107,2001,0.8953,0.9132,0,1.92,0,140.6534487
505.75,900,917,0.134,1.109627638,1998,0.76,0.924,0.06,1.95,0,254.3373543
505.75,900,980,0.1337,0.846466694,2001,0.7601,0.9241,0.055,1.949,0,254.360107
507.85,375,581,0.1935,1.334518912,1993,0.7043,0.9982,0,1.857,0,120.2253091
507.85,900,586,0.1935,1.27384247,1995,0.7043,0.9982,0,1.857,0,181.7372552
508.1125,275,300,0,0.993087595,1997,0.865,0.96118,0.0941,1.6808,0.9618,123.7747315
508.1125,550,301,0,1.613779909,1997,0.865,0.96118,0.0941,1.6808,0.9618,190.7056142
508.1125,900,302,0,1.470701757,1998,0.865,0.96118,0.0941,1.6808,0.9618,191.0469048
508.1125,950,303,0,1.377190355,1999,0.865,0.96118,0.0941,1.6808,0.9618,247.966596
508.1125,950,304,0,1.393099958,2011,0.865,0.96118,0.0941,1.6808,0.9618,269.3541415
516.25,375,779,0,0.96372751,2001,0.769,1.069,0,1.85,0,81.37885228
516.25,900,780,0,1.714035177,2011,0.769,1.069,0,1.85,0,138.4881494
517.4925,275,310,0,1.577151701,2005,0.8592,0.95514,0.0887,1.7154,0.9564,126.201687
517.4925,550,311,0,1.601823304,1991,0.8592,0.95514,0.0887,1.7154,0.9564,193.7772298
517.4925,900,312,0,1.28316939,1994,0.8592,0.95514,0.0887,1.7154,0.9564,219.6773957
517.4925,950,313,0,1.033081471,1992,0.8592,0.95514,0.0887,1.7154,0.9564,267.9510579
517.4925,950,314,0,1.312737692,1998,0.8592,0.95514,0.0887,1.7154,0.9564,286.2290666
517.65,375,566,0,1.482274026,1996,0.7693,1.0914,0,1.857,0,81.64050842
517.65,900,571,0,1.411693298,1999,0.7693,1.0914,0,1.857,0,138.6929237
518,375,739,0,1.741292083,2002,0.769,1.09,0,1.86,0,104.0177967
518,900,740,0,1.45461079,2003,0.769,1.09,0,1.86,0,138.4881494
518,375,782,0,1.788854819,1991,0.765,1.085,0,1.92,0,78.1176308
518,900,783,0,1.528806106,1990,0.765,1.085,0,1.92,0,119.0725052
518,950,784,0,1.620363125,2008,0.765,1.085,0,1.92,0,161.6579903
518,900,878,0,1.390611697,1995,0.778,0.819,0.11,2.21,1.07,172.8068173
518,900,941,0,1.188740157,2006,0.7784,0.8192,0.105,2.214,1.067,172.8106094
519.75,375,741,0,1.239290662,1995,0.734,1.04,0,1.86,0,170.2660982
520.03,275,340,0,1.157073529,2010,0.75345,1.0228,0.0952,1.748,1.1754,120.51351
520.03,550,341,0,1.598029647,1999,0.75345,1.0228,0.0952,1.748,1.1754,203.4471307
520.03,900,342,0,1.248578367,2011,0.75345,1.0228,0.0952,1.748,1.1754,260.7081125
520.03,950,343,0,1.453743076,2004,0.75345,1.0228,0.0952,1.748,1.1754,285.7740125
520.03,950,344,0,1.682381996,1992,0.75345,1.0228,0.0952,1.748,1.1754,312.0913114
521.15,900,1002,0.1372,0.908117837,2008,0.6553,0.8784,0.06,2.013,1.069,294.3859125
521.5,900,845,0.137,1.143895848,1996,0.655,0.878,0.06,2.01,1.07,294.3821203
521.5,900,853,0,1.441474524,2004,0.815,0.879,0.06,1.86,1.07,234.5045771
521.5,900,865,0,1.512780038,1998,0.744,0.88,0.11,2.1,1.07,175.3096151
521.5,900,914,0,0.913175867,2002,0.784,0.953,0.13,1.64,1.07,197.2280572
521.675,900,977,0,0.928705328,1998,0.784,0.9532,0.128,1.636,1.075,197.2621862
521.675,900,1010,0,1.105296606,1995,0.8152,0.879,0.061,1.864,1.07,234.5424983
521.85,900,1022,0,1.190225389,2005,0.7442,0.8796,0.111,2.097,1.07,175.3134073
524.65,900,948,0,1.431339614,2008,0.7276,0.8782,0.099,2.115,1.198,131.0973114
525,375,636,0,0.975437349,2001,0.795,1.075,0,1.84,0,85.66394562
525,900,637,0,0.950359871,2004,0.795,1.075,0,1.84,0,147.6650749
525,900,885,0,1.40983453,2010,0.728,0.878,0.1,2.12,1.2,131.0935193
528.5,550,794,0,1.524326524,1990,0.817,0.974,0,2.03,0,99.69478222
528.5,950,795,0,1.026239171,2001,0.817,0.974,0,2.03,0,147.0962572
528.5,900,825,0,1.099820323,2006,0.817,0.974,0,2.03,0,119.6413229
531.3,900,994,0.1399,1.565633412,2007,0.7225,0.8955,0.062,2.135,0,183.8077516
532,900,15,0.076,1.07643179,2009,0.67,0.932,0,2.28,0,262.9757991
532,900,837,0.14,1.307203259,1990,0.722,0.895,0.06,2.14,0,183.8039595
533.4,900,999,0,0.87839602,2003,0.7052,0.9594,0.098,1.96,0.996,165.6776354
533.75,900,842,0,1.630305329,1993,0.705,0.959,0.1,1.96,1,165.6776354
534.275,375,659,0.2035,1.238810618,2008,0.631,0.9654,0,2.035,0,142.4167836
534.275,900,671,0.2035,1.202282853,1993,0.631,0.9654,0,2.035,0,238.5735197
534.275,275,687,0.2035,1.574544159,1997,0.631,0.9654,0,2.035,0,77.79150865
534.275,950,712,0.2035,1.564750763,1998,0.631,0.9654,0,2.035,0,300.2940323
537.25,950,622,0,0.982359795,2007,0.812,0.968,0,1.93,0,189.6817424
537.25,950,623,0,1.659699648,2005,0.812,0.968,0,1.93,0,198.8207467
537.25,275,624,0,1.653004309,1991,0.812,0.968,0,1.93,0,68.97862642
537.25,900,625,0,1.700086368,1993,0.812,0.968,0,1.93,0,151.4192717
537.25,950,626,0,1.155888919,1999,0.812,0.968,0,1.93,0,181.0736345
542.325,900,992,0.1428,1.080688545,1993,0.6512,0.9139,0.221,1.678,1.112,210.1857244
542.5,275,722,0,1.490343276,2000,0.83,1.012,0,1.92,0,65.18650842
542.5,375,723,0,0.990321671,1992,0.83,1.012,0,1.92,0,94.84087118
542.5,900,724,0,1.019073201,1993,0.83,1.012,0,1.92,0,153.0498825
542.5,950,725,0,0.959316516,1990,0.83,1.012,0,1.92,0,196.6971607
542.5,950,726,0,0.964771219,2004,0.83,1.012,0,1.92,0,212.8515833
563.5,900,823,0,1.072127251,2007,0.8,0.974,0,2.03,0,138.4881494
563.5,950,824,0,1.523496855,1998,0.8,0.974,0,2.03,0,162.7197834
563.5,900,859,0.149,1.065353655,2008,0.709,0.951,0.08,1.86,0,288.3147315
563.5,900,870,0,1.498994469,1998,0.813,0.818,0.1,1.96,1.16,171.479576
563.85,900,1027,0,1.073878268,2006,0.8134,0.8179,0.104,1.96,1.156,171.4833681
564.375,900,1016,0.1486,1.656218033,2004,0.7095,0.951,0.085,1.858,0,288.3450685
566.475,900,131,0.2828,1.532154623,2002,0.6599,0.9427,0.103,1.838,0,410.8380641
568.75,375,632,0,1.68116842,1991,0.783,1.063,0,1.84,0,96.47148192
568.75,900,633,0,1.480321549,2000,0.783,1.063,0,1.84,0,168.1425121
569.8,900,1013,0.1664,1.200595897,2004,0.79,0.8816,0.089,1.74,0,336.7969602
570.5,900,856,0.166,1.056017412,1990,0.79,0.882,0.09,1.74,0,336.7779996
570.5,900,888,0,1.553947343,2005,0.792,0.801,0.11,1.99,1.38,223.734962
571.375,900,951,0,1.321216817,2002,0.7925,0.8011,0.108,1.99,1.379,212.4685794
578.375,900,966,0.1696,1.406768663,2004,0.8023,0.811,0.081,1.949,0,311.404938
579.25,275,727,0,1.077986693,2011,0.821,1.025,0,1.92,0,78.6864485
579.25,375,728,0,1.452363868,2009,0.821,1.025,0,1.92,0,95.90266422
579.25,900,729,0,1.500457331,1990,0.821,1.025,0,1.92,0,174.5891127
579.25,950,730,0,1.645641158,2009,0.821,1.025,0,1.92,0,208.5285688
579.25,950,731,0,1.37064737,1995,0.821,1.025,0,1.92,0,216.6057802
579.25,950,769,0,1.587062027,2009,0.825,0.978,0,1.92,0,214.4821941
579.25,950,770,0,1.635194235,1994,0.825,0.978,0,1.92,0,226.8444988
579.25,275,772,0,1.509797249,1993,0.825,0.978,0,1.92,0,74.36343398
579.25,275,785,0,1.37492848,2007,0.825,0.879,0,1.92,0,74.36343398
579.25,375,786,0,1.444492531,2005,0.825,0.978,0,1.92,0,89.45606362
579.25,900,787,0,0.88980344,2008,0.825,0.978,0,1.92,0,172.958502
579.25,950,788,0,1.666833026,2002,0.825,0.978,0,1.92,0,204.774372
579.25,900,903,0.17,0.982088245,1997,0.802,0.811,0.08,1.95,0,311.370809
581.875,950,3,0.1425,1.252712839,1996,0.594,0.932,0,2.28,0,221.4824439
581.875,950,4,0.1425,1.088840057,2000,0.594,0.932,0,2.28,0,225.79029
581.875,375,68,0.1425,0.846047301,2011,0.594,0.932,0,2.28,0,166.5156935
582.75,900,393,0.0175,1.478224687,2010,0.652,0.996,0.179,1.67,1.63,260.0255313
582.75,275,542,0,1.218695558,1999,0.8426,0.9312,0,1.92,0,85.88768058
582.75,900,547,0,1.466461237,2007,0.8426,0.9312,0,1.92,0,175.817759
582.75,375,548,0,1.38090519,1998,0.8426,0.9312,0,1.92,0,128.7272376
582.75,950,550,0,1.593249263,2007,0.8426,0.9312,0,1.92,0,229.2411173
584.5,900,394,0.0176,1.029696044,1993,0.633,0.967,0.153,1.89,1.58,243.7952662
588,900,899,0,1.051343217,2009,0.817,0.986,0.03,1.82,0,246.7531183
588.875,900,962,0,1.631335621,2004,0.8168,0.9858,0.034,1.819,0,246.775871
591.325,375,116,0.189,1.274177425,1992,0.7558,0.9447,0.095,1.749,0,193.0567274
591.325,900,139,0.189,1.291936357,2011,0.7558,0.9447,0.095,1.749,0,274.4355797
591.325,950,184,0.189,1.271633272,2002,0.7558,0.9447,0.095,1.749,0,372.8789629
593.25,275,599,0,1.64449227,1990,0.781,0.968,0,1.97,0,72.73282324
612.5,550,759,0,1.099019835,2003,0.775,0.974,0,2.03,0,123.9264162
612.5,900,760,0,1.358321021,2003,0.775,0.974,0,2.03,0,150.3574787
612.5,950,761,0,1.180719777,2011,0.775,0.974,0,2.03,0,164.8812906
612.5,950,762,0,0.987320842,2007,0.775,0.974,0,2.03,0,172.4276055
612.5,950,763,0,1.000827481,1998,0.775,0.974,0,2.03,0,179.9739203
621.25,900,498,0.019,1.018864331,1996,0.871,0.967,0.1313,1.45,0.97,242.1646555
621.25,900,499,0.019,1.206326339,2005,0.871,0.967,0.1225,1.45,0.97,305.0000507
622.825,900,1014,0,1.164297596,2007,0.7784,0.8014,0.11,1.933,1.416,224.7777945
623,900,404,0.119,1.603740847,1995,0.657,1.061,0.0903,1.6,0,324.4915373
623,900,857,0,0.887999245,2005,0.778,0.801,0.11,1.93,1.42,224.7588339
628.25,900,524,0.019,1.198537126,2001,0.801,0.942,0.1091,1.54,1.41,346.144531
628.25,900,525,0.019,1.13713292,1993,0.801,0.942,0.1091,1.54,1.41,327.2218622
628.25,275,526,0.019,0.831387522,1998,0.801,0.942,0.1091,1.54,1.41,138.1414414
628.25,275,527,0.019,1.492220177,2005,0.801,0.942,0.1091,1.54,1.41,130.0154743
628.25,375,528,0.019,1.496600492,1991,0.801,0.942,0.1091,1.54,1.41,196.6484049
628.25,375,529,0.019,1.621038991,2002,0.801,0.942,0.1091,1.54,1.41,212.358608
628.25,950,530,0.019,1.415546102,2007,0.801,0.942,0.1091,1.54,1.41,378.1283377
628.25,950,531,0.019,0.861115184,2004,0.801,0.942,0.1091,1.54,1.41,367.2937149
634.55,275,84,0.189,1.324289049,2009,0.7558,0.9447,0.116,1.649,0,194.1564416
634.55,375,115,0.189,1.48412347,1992,0.7558,0.9447,0.116,1.649,0,125.9362388
634.55,900,130,0.189,1.444389179,2009,0.7558,0.9447,0.116,1.649,0,392.1429224
634.55,900,133,0.189,0.835122148,1998,0.7558,0.9447,0.116,1.649,0,392.1429224
634.55,900,135,0.189,0.8644329,2000,0.7558,0.9447,0.116,1.649,0,392.1429224
634.55,900,138,0.189,1.592610628,1999,0.7558,0.9447,0.116,1.649,0,392.1429224
634.55,950,176,0.189,1.365350742,1995,0.7558,0.9447,0.116,1.649,0,436.1314912
634.55,950,178,0.189,1.06042759,2007,0.7558,0.9447,0.116,1.649,0,436.1314912
634.55,950,180,0.189,1.58498158,2011,0.7558,0.9447,0.116,1.649,0,436.1314912
634.55,950,183,0.189,1.386836033,1990,0.7558,0.9447,0.116,1.649,0,436.1314912
640.5,900,847,0.187,0.858373209,2002,0.757,0.824,0.07,1.91,0,362.4885596
640.5,900,1004,0.187,1.214940066,1998,0.7569,0.8243,0.066,1.913,0,362.499936
654.5,275,71,0.1892,1.419109357,1990,0.7567,0.9261,0.101,1.701,0,189.188767
654.5,900,117,0.1892,1.391443588,1993,0.7567,0.9261,0.101,1.701,0,336.019576
654.5,950,140,0.1892,1.470893414,2001,0.7567,0.9261,0.101,1.701,0,348.6852501
654.5,900,838,0,1.203867815,1998,0.73,1.013,0.07,1.9,0,214.7855635
655.025,900,995,0,1.24563478,1994,0.7304,1.0132,0.067,1.902,0,214.8083162
673.75,225,764,0,1.013682749,2006,0.763,0.966,0,1.86,0,34.47035262
673.75,275,765,0,0.863794464,2010,0.763,0.966,0,1.86,0,80.84795576
673.75,375,766,0,1.166573529,1993,0.763,0.966,0,1.86,0,127.7185342
673.75,550,767,0,1.286313615,1999,0.763,0.966,0,1.86,0,153.580779
673.75,900,768,0,1.639443583,2009,0.763,0.966,0,1.86,0,172.4276055
677.25,900,486,0.02,1.505095988,2009,0.845,0.938,0.1432,1.57,0.94,276.2937175
677.25,900,487,0.02,1.590220485,1990,0.845,0.938,0.1393,1.57,0.94,256.7643098
677.25,900,488,0.02,0.821632492,2009,0.845,0.938,0.1161,1.57,0.94,256.7643098
677.25,275,489,0.02,1.662332397,1994,0.845,0.938,0.1432,1.57,0.94,125.139894
677.25,275,490,0.02,1.620083142,2008,0.845,0.938,0.1393,1.57,0.94,140.308366
677.25,275,491,0.02,0.957417193,1994,0.845,0.938,0.1161,1.57,0.94,191.2365107
677.25,375,492,0.02,1.509905348,2004,0.845,0.938,0.1432,1.57,0.94,202.6128647
677.25,375,493,0.02,1.057494601,2002,0.845,0.938,0.1393,1.57,0.94,252.4412953
677.25,375,494,0.02,0.893352668,2010,0.845,0.938,0.1161,1.57,0.94,229.1576907
677.25,950,495,0.02,0.860578056,2008,0.845,0.938,0.1432,1.57,0.94,309.8539618
677.25,950,496,0.02,1.541463814,1992,0.845,0.938,0.1393,1.57,0.94,263.8176493
677.25,950,497,0.02,1.548372359,1991,0.845,0.938,0.1161,1.57,0.94,338.0293985
680.05,275,79,0.0971,0.819910945,1994,0.9257,0.8521,0.121,1.579,0,154.5288085
680.05,900,125,0.0971,0.977672051,2008,0.9257,0.8521,0.121,1.579,0,278.8344365
680.05,950,171,0.0971,1.142880842,2009,0.9257,0.8521,0.121,1.579,0,316.7935377
682.325,375,114,0.189,0.935204706,1999,0.7558,0.9447,0.22,1.459,0,325.0224338
682.325,900,137,0.189,1.414607142,2005,0.7558,0.9447,0.22,1.459,0,409.7383499
682.325,950,182,0.189,1.1095636,1994,0.7558,0.9447,0.22,1.459,0,454.2957364
687.75,275,535,0,1.536651161,1990,0.7856,0.9406,0,1.92,0,105.5953178
687.75,950,536,0,1.668564694,1993,0.7856,0.9406,0,1.92,0,268.6563918
687.75,900,537,0,1.490458578,1997,0.7856,0.9406,0,1.92,0,217.8268422
687.75,375,551,0,1.445839156,1997,0.7856,0.9406,0,1.92,0,152.583452
687.75,275,804,0,1.243497918,2007,0.758,0.94,0,1.92,0,105.0795898
687.75,900,805,0,0.91754415,2006,0.758,0.94,0,1.92,0,217.7054944
687.75,950,806,0,1.637791808,2005,0.758,0.94,0,1.92,0,268.3681909
694.75,900,392,0.0172,0.872716254,2010,0.633,0.967,0.208,1.67,1.58,306.0618438
694.75,900,562,0,1.535850304,2007,0.7343,1.0406,0,1.857,0,181.9534059
694.75,375,569,0,1.630172947,2002,0.7343,1.0406,0,1.857,0,139.9632833
694.75,900,744,0,0.975656998,2009,0.734,1.04,0,1.86,0,203.1437613
694.75,900,826,0,1.343678182,1992,0.734,1.04,0,1.85,0,215.0130906
700,900,640,0,1.038841405,2011,0.745,1.025,0,1.87,0,240.3444388
700,375,641,0,1.13953998,1997,0.745,1.025,0,1.87,0,165.791399
703.15,275,83,0.0947,0.929066944,1990,0.8521,0.9468,0.114,1.474,0,226.048154
780.5,950,484,0.024,1.348369083,1992,0.712,0.967,0.1164,1.62,0.79,303.9003365
780.5,950,485,0.024,1.346035872,2009,0.712,0.967,0.103,1.62,0.79,301.2079327
787.675,900,391,0.05,1.041651815,1995,0.6132,1.1244,0.03,2,0,216.567859
789.25,900,384,0,1.597994732,2004,0.745,1.03,0.1125,1.65,0,433.4011662
820.75,275,77,0.1172,1.078324487,2008,0.8405,0.8521,0.322,1.378,0,221.0804794
820.75,900,123,0.1172,0.779892593,1993,0.8405,0.8521,0.322,1.378,0,367.9492095
820.75,950,169,0.1172,1.079328845,1999,0.8405,0.8521,0.322,1.378,0,388.8437797
831.25,900,10,0,0.8992294,1992,0.594,0.932,0,2.28,0,216.0938442
831.25,950,20,0,0.900315478,2001,0.594,0.932,0,2.28,0,234.4135663
831.25,275,76,0.1188,1.013890725,2010,0.7815,0.8521,0.089,1.811,0,207.8839088
831.25,900,122,0.1188,0.758964631,2004,0.7815,0.8521,0.089,1.811,0,375.6472091
831.25,950,168,0.1188,0.861841486,2005,0.7815,0.8521,0.089,1.811,0,408.069818
831.25,900,381,0,1.516342598,2008,0.641,1.098,0.019,1.42,0.59,314.745794
831.25,900,402,0,0.945128796,2005,0.662,1.044,0.095,1.62,0,321.8749758
840,900,538,0,1.277757569,2001,0.7122,0.9362,0,1.92,0,241.6830565
840,375,539,0,0.828947799,2011,0.7122,0.9362,0,1.92,0,190.1330044
840,950,540,0,1.455890161,2003,0.7122,0.9362,0,1.92,0,298.7354718
840,275,541,0,1.210986346,2001,0.7122,0.9362,0,1.92,0,134.2258087
840,900,742,0,1.568170862,1998,0.721,0.936,0,1.92,0,241.4062319
840,950,743,0,1.672488777,2001,0.721,0.936,0,1.92,0,298.515529
840,275,827,0,1.377514977,2001,0.721,0.936,0,1.92,0,134.1651348
848.75,900,70,0,1.342974737,2003,0.8,1.12,0,1.46,0,395.9350404
859.25,900,500,0.026,0.834857592,2001,0.699,0.882,0.0393,2.1,1.23,305.5309473
859.25,900,501,0.026,1.372371214,2006,0.699,0.822,0.0393,2.01,1.23,318.537912
859.25,275,502,0.026,0.885810845,2010,0.699,0.882,0.0393,2.1,1.23,140.8500971
859.25,375,503,0.026,1.287581036,1997,0.699,0.882,0.0393,2.1,1.23,184.1885886
945,900,1,0,1.528696958,1993,0.676,1.04,0.025,1.62,0,439.9236092
945,900,2,0,1.107596939,2008,0.676,1.055,0.025,1.62,0,340.3805117
945,375,752,0,1.739930281,2002,0.613,1.125,0,1.73,0,289.3765246
945,550,753,0,1.527267535,2000,0.613,1.125,0,1.73,0,328.7007882
945,900,754,0,1.735468506,1997,0.613,1.125,0,1.73,0,370.1865592
945,950,755,0,1.394782512,1998,0.613,1.125,0,1.73,0,383.1176815
945,950,756,0,1.685471745,1998,0.613,1.125,0,1.73,0,393.9252178
945,950,757,0,1.35372021,2006,0.613,1.125,0,1.73,0,407.9181333
945,275,800,0,1.703753827,2011,0.613,1.125,0,1.73,0,229.006006
